,open,high,low,close,volume
2005-05-05,108.625,109.046875,108.546875,108.875,614555.0
2005-05-06,108.890625,108.9375,108.15625,108.21875,769640.0
2005-05-09,108.203125,108.203125,108.015625,108.078125,280088.0
2005-05-10,108.078125,108.46875,108.046875,108.390625,356517.0
2005-05-11,108.453125,108.734375,108.265625,108.46875,613036.0
2005-05-12,108.453125,108.671875,108.21875,108.59375,568278.0
2005-05-13,108.640625,108.890625,108.5,108.8125,475428.0
2005-05-16,108.828125,108.9375,108.6875,108.8125,296338.0
2005-05-17,108.75,108.96875,108.609375,108.84375,435575.0
2005-05-18,108.828125,109.375,108.78125,109.015625,505498.0
2005-05-19,108.921875,108.96875,108.65625,108.71875,413111.0
2005-05-20,108.6875,108.75,108.578125,108.609375,256596.0
2005-05-23,108.578125,108.984375,108.5,108.84375,447554.0
2005-05-24,108.859375,109.109375,108.828125,109.03125,664510.0
2005-05-25,109.0625,109.21875,108.828125,108.921875,768020.0
2005-05-26,108.84375,109.015625,108.71875,108.8125,728933.0
2005-05-27,108.859375,108.90625,108.75,108.828125,346096.0
2005-05-31,108.875,109.171875,108.859375,109.078125,249135.0
2005-06-01,109.125,109.78125,109.109375,109.578125,170873.0
2005-06-02,109.59375,109.59375,109.15625,109.53125,71724.0
2005-06-03,109.484375,109.953125,109.109375,109.140625,54573.0
2005-06-06,109.0625,109.28125,109.03125,109.15625,31702.0
2005-06-07,109.171875,109.421875,109.171875,109.3125,50576.0
2005-06-08,109.234375,109.375,109.109375,109.140625,21368.0
2005-06-09,109.234375,109.234375,108.78125,108.984375,27076.0
2005-06-10,109.046875,109.046875,108.625,108.625,19237.0
2005-06-13,108.640625,108.65625,108.46875,108.53125,26031.0
2005-06-14,108.59375,108.59375,108.40625,108.4375,16557.0
2005-06-15,108.5,108.625,108.375,108.453125,7297.0
2005-06-16,108.46875,108.59375,108.328125,108.59375,7585.0
2005-06-17,108.59375,108.671875,108.484375,108.546875,12117.0
2005-06-20,108.609375,108.609375,108.34375,108.4375,5682.0
2005-06-21,108.4375,108.6875,108.390625,108.671875,9118.0
2005-06-22,108.453125,108.953125,108.40625,108.90625,375515.0
2005-06-23,108.890625,108.90625,108.703125,108.8125,327220.0
2005-06-24,108.875,109.09375,108.84375,109.0625,314650.0
2005-06-27,109.0625,109.171875,109.015625,109.125,225527.0
2005-06-28,109.125,109.125,108.78125,108.8125,313006.0
2005-06-29,108.8125,108.984375,108.65625,108.734375,303501.0
2005-06-30,108.78125,109.015625,108.65625,108.890625,445856.0
2005-07-01,108.984375,108.984375,108.359375,108.4375,395076.0
2005-07-05,108.34375,108.375,108.109375,108.140625,315951.0
2005-07-06,108.140625,108.296875,108.140625,108.265625,273768.0
2005-07-07,108.28125,109.5,108.234375,108.4375,616456.0
2005-07-08,108.34375,108.625,108.09375,108.140625,385905.0
2005-07-11,108.1875,108.25,107.90625,108.125,321936.0
2005-07-12,108.140625,108.25,107.9375,107.96875,303940.0
2005-07-13,107.953125,107.984375,107.796875,107.890625,319541.0
2005-07-14,107.90625,108.078125,107.75,107.828125,354727.0
2005-07-15,107.828125,107.96875,107.703125,107.828125,253890.0
2005-07-18,107.828125,107.875,107.609375,107.671875,210138.0
2005-07-19,107.640625,107.859375,107.515625,107.765625,373060.0
2005-07-20,107.78125,107.875,107.46875,107.8125,540171.0
2005-07-21,107.78125,107.875,107.328125,107.375,722609.0
2005-07-22,107.375,107.65625,107.328125,107.5625,282364.0
2005-07-25,107.5625,107.640625,107.421875,107.484375,233128.0
2005-07-26,107.453125,107.546875,107.421875,107.46875,210854.0
2005-07-27,107.515625,107.546875,107.296875,107.34375,382290.0
2005-07-28,107.34375,107.59375,107.265625,107.546875,318720.0
2005-07-29,107.578125,107.59375,107.125,107.203125,441091.0
2005-08-01,107.1875,107.234375,106.96875,107.109375,360165.0
2005-08-02,107.109375,107.21875,107.0,107.078125,296158.0
2005-08-03,107.078125,107.296875,107.0625,107.25,300557.0
2005-08-04,107.25,107.328125,107.140625,107.171875,218560.0
2005-08-05,107.171875,107.265625,106.78125,106.8125,563712.0
2005-08-08,106.8125,106.875,106.609375,106.671875,258312.0
2005-08-09,106.640625,106.875,106.59375,106.828125,348462.0
2005-08-10,106.859375,107.015625,106.75,106.84375,346557.0
2005-08-11,106.84375,107.1875,106.75,107.125,424217.0
2005-08-12,107.1875,107.46875,107.109375,107.453125,346193.0
